Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2020-02-12,75.41138458251953,75.49430874131542,74.91679471215745,75.27382928475085,31042000
2020-02-13,75.15117645263672,75.77487310133188,74.68488719013807,74.98283526176698,22914000
2020-02-14,75.41633605957031,75.48188583916784,74.76184602231503,75.20777546733567,23198000
2020-02-18,75.45160675048828,76.00379801654766,75.03299279148968,75.19835617848237,25642000
2020-02-19,75.72123718261719,76.01272951679007,75.52807331271677,75.83694001450749,22746000
2020-02-20,75.32994079589844,75.83048626235644,74.69779566759601,75.43024689467184,25962000
2020-02-21,73.66492462158203,75.03001360117807,73.41812977284052,74.71369096599916,42520000
2020-02-24,70.50670623779297,71.32705227867518,69.8576867844857,70.66511381109099,49560000
2020-02-25,68.84119415283203,71.35038478690109,68.54821669209058,71.0598926260904,51580000
2020-02-26,69.04727172851562,70.19932951834674,68.35604008547062,69.27122908358415,49776000
2020-02-27,65.29712677001953,68.00098126422547,65.26187036957133,67.4914948326464,62290000
2020-02-28,66.50381469726562,66.66271477222554,62.97614362297551,63.279054704787185,80198000
2020-03-02,68.84119415283203,68.89829543416829,65.80612769225289,67.10665938377004,55430000
2020-03-03,66.42784118652344,69.92720421557465,66.00674195489913,69.40530636805653,56602000
2020-03-04,68.6068115234375,68.6654055008889,66.39208344077265,67.48256183891996,47598000
2020-03-05,65.28770446777344,67.21789611582923,64.63619971791267,66.81665653912074,54380000
2020-03-06,64.34323120117188,64.69132480546529,62.42992493066835,63.06256270392194,64640000
2020-03-09,60.37310028076172,62.20744866995912,59.491678793315025,59.83530940093405,69252000
2020-03-10,63.3217658996582,63.355533400320745,60.30954041673716,62.289885180152496,54872000
2020-03-11,60.130271911621094,62.41600911448038,59.149040628206436,61.98597644813612,54732000
2020-03-12,55.196800231933594,59.030360304346644,55.04385578012002,55.74650994520569,94326000
2020-03-13,60.29762268066406,60.304078399115795,55.23354724050497,58.347075086419736,79400000
2020-03-16,53.28250503540039,56.88118149675051,52.988531177685545,54.107313960757686,96520000
2020-03-17,55.52006912231445,55.91434906987701,52.09568956640295,54.15846196110685,83194000
2020-03-18,54.18577575683594,54.87104797762396,51.494832347256526,52.63397869009644,93044000
